CodeL1,PCode,PlanName,Account1,Rate,UseYN
5105010160.103,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาอาคารเพื่อประโยชน์อื่น- Interface,1.0,Yes
5105010160.104,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาสิ่งปลูกสร้าง -Interface,1.0,Yes
5105010160.105,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาระบบประปา  -Interface,1.0,Yes
5105010160.106,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาระบบบำบัดน้ำเสีย - Interface,1.0,Yes
5105010160.107,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาระบบไฟฟ้า  -Interface,1.0,Yes
5105010160.108,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาระบบโทรศัพท์ - Interface,1.0,Yes
5105010160.109,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาระบบถนนภายใน - Interface,1.0,Yes
5105010161.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์สำนักงาน- Interface,1.0,Yes
5105010161.102,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์ยานพาหนะและขนส่ง -Interface,1.0,Yes
5105010161.103,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์ไฟฟ้าและวิทยุ - Interface,1.0,Yes
5105010161.104,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์โฆษณาและเผยแพร่ -  Interface,1.0,Yes
5105010161.105,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์การเกษตร- Interface,1.0,Yes
5105010161.106,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์ก่อสร้าง -Interface,1.0,Yes
5105010161.107,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์วิทยาศาสตร์และการแพทย์ -Interface,1.0,Yes
5105010161.108,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาอุปกรณ์คอมพิวเตอร์ -  Interface,1.0,Yes
5105010161.109,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์งานบ้านงานครัว -Interface,1.0,Yes
5105010161.110,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาครุภัณฑ์อื่น -  Interface,1.0,Yes
5105010164.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าตัดจำหน่ายโปรแกรมคอมพิวเตอร์-Interface,1.0,Yes
5105010164.103,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าตัดจำหน่ายสินทรัพย์ไม่มีตัวตนอื่น- Interface,1.0,Yes
5105010194.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-อาคารและสิ่งปลูกสร้างไม่ระบุรายละเอียด,1.0,Yes
5105010195.101,P24,ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคา-ครุภัณฑ์ไม่ระบุรายละเอียด,1.0,Yes
5107010101.101,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอุดหนุน -หน่วยงานภาครัฐ,1.0,Yes
5107010113.101,P20,ค่าใช้จ่ายบุคลากรอื่น,บัญชีค่าใช้จ่ายช่วยเหลือตามมาตรการของรัฐ (งบกลาง โควิด),1.0,No
5107010199.101,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอุดหนุนเพื่อการดำเนินงานอื่น,1.0,Yes
5107020199.101,P25,ค่าใช้จ่ายอื่น,ค่าใช้จ่ายเงินอุดหนุนเพื่อการลงทุนอื่น,1.0,Yes
